스캐너,파일종류,종목코드,종목명,전일종가,금일종가,장중최대상승률(%),종가수익률(%)
5.0_stable,all,263750,펄어비스,46000,41500,-2.39,-9.78
5.0_stable,all,456160,지투지바이오,86900,89200,3.8,2.65
5.0_stable,all,012510,더존비즈온,119100,119300,0.25,0.17
5.0_stable,all,353200,대덕전자,77300,82800,11.64,7.12
5.0_stable,all,222800,심텍,60100,62500,5.66,3.99
5.0_stable,all,005935,삼성전자우,144200,139200,0.83,-3.47
5.0_stable,all,034020,두산에너빌리티,106300,109600,5.46,3.1
5.0_stable,all,298380,에이비엘바이오,190000,190500,2.53,0.26
5.0_stable,all,443060,HD현대마린솔루션,178200,182700,4.26,2.53
5.0_stable,all,263750,펄어비스,46000,41500,-2.39,-9.78
5.0_stable,all,012510,더존비즈온,119100,119300,0.25,0.17
5.0_stable,all,017960,한국카본,48350,49800,5.07,3.0
5.0_stable,all,100790,미래에셋벤처투자,22850,22300,1.75,-2.41
5.0_stable,all,079370,제우스,17860,17500,1.29,-2.02
5.0_stable,all,005930,삼성전자,200500,199400,1.0,-0.55
5.0_stable,all,000660,SK하이닉스,1013000,1007000,1.28,-0.59
5.0_stable,all,005935,삼성전자우,144200,139200,0.83,-3.47
5.0_stable,all,402340,SK스퀘어,611000,608000,1.15,-0.49
5.0_stable,all,034020,두산에너빌리티,106300,109600,5.46,3.1
5.0_stable,all,032830,삼성생명,230500,231500,0.65,0.43
5.0_stable,all,009150,삼성전기,479500,464500,1.88,-3.13
5.0_stable,all,042700,한미반도체,307000,309500,3.75,0.81
5.0_stable,all,010120,LS ELECTRIC,873000,886000,3.89,1.49
5.0_stable,all,298040,효성중공업,2693000,2735000,3.12,1.56
5.0_stable,all,000720,현대건설,169500,164000,3.19,-3.24
5.0_stable,all,000250,삼천당제약,795000,907000,20.13,14.09
5.0_stable,all,278470,에이피알,369000,359500,2.17,-2.57
5.0_stable,all,007660,이수페타시스,129500,126800,1.54,-2.08
5.0_stable,all,006260,LS,290500,303500,7.4,4.48
5.0_stable,all,058470,리노공업,117100,111700,0.34,-4.61
5.0_stable,all,087010,펩트론,317500,346000,13.07,8.98
5.0_stable,all,011070,LG이노텍,286000,296000,4.55,3.5
5.0_stable,all,047040,대우건설,16170,19110,20.16,18.18
5.0_stable,all,095340,ISC,244500,247000,2.25,1.02
5.0_stable,all,039030,이오테크닉스,412500,429500,8.73,4.12
5.0_stable,all,032820,우리기술,28950,28400,3.97,-1.9
5.0_stable,all,489790,한화비전,87200,87400,2.41,0.23
5.0_stable,all,403870,HPSP,51700,51200,1.93,-0.97
5.0_stable,all,103590,일진전기,82100,82600,1.95,0.61
5.0_stable,all,353200,대덕전자,77300,82800,11.64,7.12
5.0_stable,all,010060,OCI홀딩스,198200,203000,15.04,2.42
5.0_stable,all,012510,더존비즈온,119100,119300,0.25,0.17
5.0_stable,all,083650,비에이치아이,104300,109500,7.86,4.99
5.0_stable,all,084370,유진테크,131900,129400,1.21,-1.9
5.0_stable,all,336260,두산퓨얼셀,45900,41900,4.58,-8.71
5.0_stable,all,051600,한전KPS,61400,67500,12.38,9.93
5.0_stable,all,112610,씨에스윈드,64900,66100,6.78,1.85
5.0_stable,all,064760,티씨케이,242500,253000,5.77,4.33
5.0_stable,all,178320,서진시스템,45400,48000,9.25,5.73
5.0_stable,all,475830,오름테라퓨틱,124900,126300,3.44,1.12
5.0_stable,all,097230,HJ중공업,27800,28450,4.32,2.34
5.0_stable,all,017960,한국카본,48350,49800,5.07,3.0
5.0_stable,all,458870,씨어스테크놀로지,189000,182900,1.9,-3.23
5.0_stable,all,319660,피에스케이,82500,86400,4.73,4.73
5.0_stable,all,007340,DN오토모티브,39600,39750,0.76,0.38
5.0_stable,all,031980,피에스케이홀딩스,106800,111400,6.27,4.31
5.0_stable,all,018670,SK가스,249000,260000,11.45,4.42
5.0_stable,all,445680,큐리옥스바이오시스템즈,131700,121700,1.52,-7.59
5.0_stable,all,222800,심텍,60100,62500,5.66,3.99
5.0_stable,all,006360,GS건설,25950,31800,26.01,22.54
5.0_stable,all,218410,RFHIC,78700,80900,7.24,2.8
5.0_stable,all,375500,DL이앤씨,51900,67400,29.87,29.87
5.0_stable,all,140860,파크시스템스,277500,273000,1.08,-1.62
5.0_stable,all,120110,코오롱인더,70500,70100,2.84,-0.57
5.0_stable,all,078600,대주전자재료,119700,126200,8.02,5.43
5.0_stable,all,475150,SK이터닉스,53700,59900,24.77,11.55
5.0_stable,all,131970,두산테스나,91900,102400,16.0,11.43
5.0_stable,all,034230,파라다이스,18890,18190,1.59,-3.71
5.0_stable,all,060370,LS마린솔루션,31350,31600,9.57,0.8
5.0_stable,all,417200,LS머트리얼즈,23750,25300,13.68,6.53
5.0_stable,all,174900,앱클론,79800,78300,2.38,-1.88
5.0_stable,all,322000,HD현대에너지솔루션,136300,131000,10.71,-3.89
5.0_stable,all,124500,아이티센글로벌,65200,61500,-1.07,-5.67
5.0_stable,all,007810,코리아써키트,62100,64600,7.09,4.03
5.0_stable,all,131290,티에스이,124800,121800,0.96,-2.4
5.0_stable,all,127120,제이에스링크,39250,40200,4.33,2.42
5.0_stable,all,183300,코미코,118900,120300,3.95,1.18
5.0_stable,all,100090,SK오션플랜트,19680,25550,29.83,29.83
5.0_stable,all,032500,케이엠더블유,29200,32950,15.75,12.84
5.0_stable,all,089970,브이엠,48800,47650,-1.43,-2.36
5.0_stable,all,010170,대한광통신,7390,7440,5.55,0.68
5.0_stable,all,476060,온코닉테라퓨틱스,25100,23950,0.0,-4.58
5.0_stable,all,003160,디아이,38450,38750,1.43,0.78
5.0_stable,all,126340,비나텍,139400,143700,7.39,3.08
5.0_stable,all,486990,노타,44850,43750,0.45,-2.45
5.0_stable,all,027360,아주IB투자,7660,7290,1.31,-4.83
5.0_stable,all,044490,태웅,45300,57300,29.8,26.49
5.0_stable,all,042520,한스바이오메드,55700,53000,0.36,-4.85
5.0_stable,all,356860,티엘비,79800,78100,0.88,-2.13
5.0_stable,all,050890,쏠리드,12900,13120,15.74,1.71
5.0_stable,all,024850,HLB이노베이션,5050,4945,2.97,-2.08
5.0_stable,all,425420,티에프이,60700,67500,12.19,11.2
5.0_stable,all,448900,한국피아이엠,118500,120700,3.12,1.86
5.0_stable,all,011930,신성이엔지,3080,3010,5.03,-2.27
5.0_stable,all,009155,삼성전기우,190400,183800,1.37,-3.47
5.0_stable,all,338840,와이바이오로직스,35600,34650,2.53,-2.67
5.0_stable,all,234340,헥토파이낸셜,38550,40000,8.56,3.76
5.0_stable,all,006110,삼아알미늄,34500,32600,-4.2,-5.51
5.0_stable,all,006340,대원전선,6520,6410,3.37,-1.69
5.0_stable,all,393890,더블유씨피,15100,13230,0.0,-12.38
