code,name,close,차트점수,5일변화율(%),20일변화율(%),거래대금(원),20일선위,60일선위,거래량증가,고점근접,양봉마감,상단압박,scan_tag,candidate_source,scan_priority
100790,미래에셋벤처투자,24050,9,5.71,7.37,117868400650,1,1,1,0,1,1,5.1_swing,all_fallback,3
101160,월덱스,32550,9,7.96,24.24,6685965300,1,1,0,1,1,1,5.1_swing,all_fallback,3
10140,삼성중공업,29100,0,1.04,3.37,122915635500,0,0,0,0,0,0,7.0_early,all_fallback,1
10170,대한광통신,7030,0,-1.82,111.43,132162594000,0,0,0,0,0,0,7.0_early,all_fallback,1
102710,이엔에프테크놀로지,59300,7,1.72,-1.17,7703010700,1,1,0,1,1,0,5.1_swing,all_fallback,3
103590,일진전기,82300,7,3.0,13.67,23500106600,1,1,0,0,1,0,5.1_swing,all_fallback,3
1040,CJ,200000,0,9.59,-13.79,41532800000,0,0,0,0,0,0,7.0_early,all_fallback,1
105840,우진,27150,7,-0.55,9.04,26696839350,1,1,0,0,1,0,5.1_swing,all_fallback,3
11070,LG이노텍,268500,7,2.87,5.92,37948447500,1,1,0,0,1,0,5.1_swing,all_fallback,3
11170,롯데케미칼,82000,7,7.75,0.0,60057784000,1,1,1,0,1,0,5.1_swing,all_fallback,3
112290,와이씨켐,27250,8,2.25,14.5,7276649250,1,1,0,1,0,1,5.1_swing,all_fallback,3
112610,씨에스윈드,59100,0,14.31,34.17,32996239200,0,0,0,0,0,0,7.0_early,all_fallback,1
11700,한신기계,5150,7,10.4,11.23,9219828700,1,1,0,0,1,0,5.1_swing,all_fallback,3
11780,금호석유화학,136300,7,8.78,-7.28,34083450600,1,1,1,0,1,0,5.1_swing,all_fallback,3
118990,모트렉스,9080,0,5.58,-9.2,12534413360,0,0,0,0,0,0,7.0_early,all_fallback,1
1200,유진투자증권,5140,7,5.22,16.16,8656017000,1,1,0,0,1,0,5.1_swing,all_fallback,3
120110,코오롱인더,71000,7,-1.25,13.24,22465039000,1,1,0,1,0,0,5.1_swing,all_fallback,3
123330,제닉,24600,8,0.61,9.09,8295366000,1,1,1,0,0,1,5.1_swing,all_fallback,3
124500,아이티센글로벌,67000,0,-0.3,35.08,23021736000,0,0,0,0,0,0,7.0_early,all_fallback,1
12510,더존비즈온,119100,8,0.08,37.69,37029857400,1,1,0,1,0,1,5.0_stable,all_fallback,4
126340,비나텍,135600,7,-8.07,17.5,10820337600,1,1,0,0,1,0,5.1_swing,all_fallback,3
126730,코칩,20100,7,3.77,13.75,7402327500,1,1,1,0,0,0,5.1_swing,all_fallback,3
127120,제이에스링크,38650,0,4.88,26.72,9383833500,0,0,0,0,0,0,7.0_early,all_fallback,1
138080,오이솔루션,31650,0,3.26,90.55,28416509400,0,0,0,0,0,0,7.0_early,all_fallback,1
145020,휴젤,269500,9,8.67,2.28,31484876500,1,1,1,1,1,1,5.1_swing,all_fallback,3
150,두산,1189000,7,7.99,22.2,95114055000,1,1,0,0,1,0,5.1_swing,all_fallback,3
1510,SK증권,1880,8,1.62,101.07,262583999200,1,1,1,0,1,0,5.1_swing,all_fallback,3
15750,성우하이텍,9610,0,-9.77,18.35,16421433460,0,0,0,0,0,0,7.0_early,all_fallback,1
160980,싸이맥스,24000,0,14.56,13.21,15693576000,0,0,0,0,0,0,7.0_early,all_fallback,1
16360,삼성증권,101500,7,3.78,4.53,48775013000,1,1,0,0,1,0,5.1_swing,all_fallback,3
1740,SK네트웍스,5600,7,5.46,8.32,6055884800,1,1,0,0,1,0,5.1_swing,all_fallback,3
174900,앱클론,81000,7,10.96,29.39,43762518000,1,1,1,0,0,0,5.1_swing,all_fallback,3
17670,SK텔레콤,81200,7,4.24,4.1,65498274800,1,1,0,0,1,0,5.1_swing,all_fallback,3
178320,서진시스템,45200,0,0.67,22.66,94707334000,0,0,0,0,0,0,7.0_early,all_fallback,1
17960,한국카본,48750,8,3.5,39.68,38498362500,1,1,0,1,0,1,5.0_stable,all_fallback,4
183300,코미코,120000,9,10.29,11.32,15920760000,1,1,0,1,1,1,5.1_swing,all_fallback,3
18880,한온시스템,4400,0,8.24,0.23,127603467200,0,0,0,0,0,0,7.0_early,all_fallback,1
19210,와이지-원,11930,0,7.67,20.02,15000197430,0,0,0,0,0,0,7.0_early,all_fallback,1
195870,해성디에스,57500,0,5.7,-5.58,12393780000,0,0,0,0,0,0,7.0_early,all_fallback,1
195940,HK이노엔,52900,0,7.19,-4.51,9452066200,0,0,0,0,0,0,7.0_early,all_fallback,1
200470,에이팩트,8350,8,8.02,12.23,14859801950,1,1,1,0,1,0,5.1_swing,all_fallback,3
200710,에이디테크놀로지,46400,7,-4.92,16.29,25936625600,1,1,1,0,0,0,5.1_swing,all_fallback,3
210,DL,49850,0,12.02,5.73,7884824350,0,0,0,0,0,0,7.0_early,all_fallback,1
213420,덕산네오룩스,46850,8,11.68,3.54,8486034200,1,1,0,1,0,1,5.1_swing,all_fallback,3
214320,이노션,19630,0,1.71,-3.3,5069054900,0,0,0,0,0,0,7.0_early,all_fallback,1
222800,심텍,59600,10,11.82,14.4,71198040800,1,1,1,1,1,1,5.1_swing,all_fallback,3
226950,올릭스,190000,0,5.56,47.17,44104700000,0,0,0,0,0,0,7.0_early,all_fallback,1
229640,LS에코에너지,45050,4,6.5,2.97,6483370750,0,0,0,0,0,0,6.0_force,all_fallback,2
23160,태광,28800,0,1.77,-0.52,7203225600,0,0,0,0,0,0,7.0_early,all_fallback,1
232140,와이씨,21150,5,2.67,2.92,27630804150,0,0,0,0,0,0,6.0_force,all_fallback,2
234340,헥토파이낸셜,37400,0,2.33,40.07,31564253600,0,0,0,0,0,0,7.0_early,all_fallback,1
234690,녹십자웰빙,9900,9,7.38,3.23,7974341100,1,1,1,0,1,1,5.1_swing,all_fallback,3
