code,name,close,차트점수,5일변화율(%),20일변화율(%),거래대금(원),20일선위,60일선위,거래량증가,고점근접,양봉마감,상단압박,scan_tag,candidate_source,scan_priority,entry1,entry2,stop_calc,target1,target2,risk,rr,entry_gap_pct,entry_status,entry_comment,status_order
17940,E1,110800,9,15.42,3.17,9045268800,1,1,1,1,1,0,5.1_swing,all_fallback,3,109470.4,108030.0,104789.1,117448.0,124096.0,4681.3,1.7,1.2,PASS,"보상비 우수, 우선 검토",0
55550,신한지주,97900,8,7.82,-2.39,270283299000,1,1,1,1,1,0,5.1_swing,all_fallback,3,96725.2,95452.5,92588.93,103774.0,109648.0,4136.27,1.7,1.2,PASS,"보상비 우수, 우선 검토",0
97950,CJ제일제당,212000,8,6.11,-4.72,27084908000,1,1,1,1,1,0,5.1_swing,all_fallback,3,209456.0,206700.0,200499.0,224720.0,237440.0,8957.0,1.7,1.2,PASS,"보상비 우수, 우선 검토",0
1120,LX인터내셔널,47150,8,8.89,-1.46,17073439350,1,1,1,1,1,0,5.1_swing,all_fallback,3,46584.2,45971.25,44592.11,49979.0,52808.0,1992.09,1.7,1.2,PASS,"보상비 우수, 우선 검토",0
79900,전진건설로봇,57600,8,1.95,-4.64,9371808000,1,1,1,1,1,0,5.1_swing,all_fallback,3,56908.8,56160.0,54475.2,61056.0,64512.0,2433.6,1.7,1.2,PASS,"보상비 우수, 우선 검토",0
4690,삼천리,154400,8,10.52,-0.58,5954590400,1,1,1,1,1,0,5.1_swing,all_fallback,3,152547.2,150540.0,146023.8,163664.0,172928.0,6523.4,1.7,1.2,PASS,"보상비 우수, 우선 검토",0
151860,KG에코솔루션,6940,8,12.85,-0.14,4965125840,1,1,1,1,1,0,5.1_swing,all_fallback,3,6856.72,6766.5,6563.51,7356.4,7772.8,293.22,1.7,1.2,PASS,"보상비 우수, 우선 검토",0
41440,현대에버다임,8620,8,2.25,-4.01,3056195140,1,1,1,1,1,0,5.1_swing,all_fallback,3,8516.56,8404.5,8152.36,9137.2,9654.4,364.19,1.7,1.2,PASS,"보상비 우수, 우선 검토",0
226950,올릭스,186900,8,-4.64,42.35,137576342400,1,1,1,0,1,0,5.0_stable,all_fallback,4,182788.2,179424.0,174041.28,197179.5,205590.0,8746.92,1.65,2.2,PASS,"보상비 우수, 우선 검토",0
52690,한전기술,175500,8,-1.24,15.77,120286998000,1,1,1,0,1,0,5.0_stable,all_fallback,4,171639.0,168480.0,163425.6,185152.5,193050.0,8213.4,1.65,2.2,PASS,"보상비 우수, 우선 검토",0
39860,나노엔텍,6190,7,0.32,32.12,37739526260,0,1,1,0,1,0,5.1_swing,all_fallback,3,6053.82,5942.4,5764.13,6530.45,6809.0,289.69,1.65,2.2,PASS,"보상비 우수, 우선 검토",0
131030,옵투스제약,11910,8,12.04,36.74,24346636380,1,1,1,0,1,0,5.1_swing,all_fallback,3,11612.25,11374.05,11032.83,12565.05,13101.0,579.42,1.64,2.5,PASS,"보상비 우수, 우선 검토",0
3240,태광산업,1289000,8,15.92,16.02,8503533000,1,1,1,0,1,0,5.1_swing,all_fallback,3,1256775.0,1230995.0,1194065.15,1359895.0,1417900.0,62709.85,1.64,2.5,PASS,"보상비 우수, 우선 검토",0
