code,name,close,차트점수,5일변화율(%),20일변화율(%),거래대금(원),20일선위,60일선위,거래량증가,고점근접,양봉마감,상단압박,scan_tag,candidate_source,scan_priority,entry1,entry2,stop_calc,target1,target2,risk,rr,entry_gap_pct,entry_status,entry_comment,status_order
141080,리가켐바이오,213000,8,5.97,19.86,85236636000,1,1,0,1,1,0,5.1_swing,all_fallback,3,210444.0,207675.0,201444.75,225780.0,238560.0,8999.25,1.7,1.2,WATCH,관찰 필요,1
89980,상아프론테크,25750,8,12.45,8.88,6385768250,1,1,0,1,1,0,5.1_swing,all_fallback,3,25441.0,25106.25,24353.06,27295.0,28840.0,1087.94,1.7,1.2,WATCH,관찰 필요,1
17670,SK텔레콤,78800,7,5.07,-3.31,101064309600,1,1,0,1,1,0,5.1_swing,all_fallback,3,77854.4,76830.0,74525.1,83528.0,88256.0,3329.3,1.7,1.2,WATCH,관찰 필요,1
417500,제이아이테크,5910,7,21.73,62.36,8159322360,1,1,0,1,1,0,5.1_swing,all_fallback,3,5839.08,5762.25,5589.38,6264.6,6619.2,249.7,1.7,1.2,WATCH,관찰 필요,1
12750,에스원,88900,7,6.98,-1.77,6086449600,1,1,0,1,1,0,5.1_swing,all_fallback,3,87833.2,86677.5,84077.18,94234.0,99568.0,3756.02,1.7,1.2,WATCH,관찰 필요,1
43260,성호전자,45000,7,-10.71,113.27,101546145000,1,1,0,0,1,0,5.0_stable,all_fallback,4,44010.0,43200.0,41904.0,47475.0,49500.0,2106.0,1.65,2.2,WATCH,관찰 필요,1
38500,삼표시멘트,17370,7,-4.56,23.37,38135053350,1,1,0,0,1,0,5.0_stable,all_fallback,4,16987.86,16675.2,16174.94,18325.35,19107.0,812.92,1.65,2.2,WATCH,관찰 필요,1
234340,헥토파이낸셜,40000,7,2.96,50.94,31437120000,1,1,0,0,1,0,5.0_stable,all_fallback,4,39120.0,38400.0,37248.0,42200.0,44000.0,1872.0,1.65,2.2,WATCH,관찰 필요,1
138080,오이솔루션,33900,7,-5.44,85.35,30969582300,1,1,0,0,1,0,5.0_stable,all_fallback,4,33154.2,32544.0,31567.68,35764.5,37290.0,1586.52,1.65,2.2,WATCH,관찰 필요,1
448900,한국피아이엠,120700,7,0.58,50.5,19093050200,1,1,0,0,1,0,5.0_stable,all_fallback,4,118044.6,115872.0,112395.84,127338.5,132770.0,5648.76,1.65,2.2,WATCH,관찰 필요,1
230240,에치에프알,27000,7,-5.43,53.58,12369969000,1,1,0,0,1,0,5.0_stable,all_fallback,4,26406.0,25920.0,25142.4,28485.0,29700.0,1263.6,1.65,2.2,WATCH,관찰 필요,1
