차트등급,시장,종목코드,종목명,현재가,5일변화율(%),20일변화율(%),거래대금(원),차트점수,20일선위,60일선위,거래량증가,고점근접,양봉마감,상단압박,기준일자
B,KOSPI,005930,삼성전자,200500,6.71,10.65,3794161549500,7,True,True,False,False,True,False,20260319
B,KOSPI,000660,SK하이닉스,1013000,8.92,15.11,3349253536000,7,True,True,False,False,True,False,20260319
B,KOSPI,005935,삼성전자우,144200,7.61,13.01,580471908800,8,True,True,False,True,True,False,20260319
B,KOSPI,402340,SK스퀘어,611000,10.29,9.5,243852544000,7,True,True,False,False,True,False,20260319
A,KOSPI,034020,두산에너빌리티,106300,2.71,9.93,354037039800,9,True,True,False,True,True,True,20260319
B,KOSPI,032830,삼성생명,230500,5.49,12.17,54152517500,7,True,True,False,False,True,False,20260319
B,KOSPI,009150,삼성전기,479500,20.03,54.93,442612544500,8,True,True,False,True,True,True,20260319
B,KOSPI,042700,한미반도체,307000,-3.15,51.6,242025906000,7,True,True,False,False,True,False,20260319
B,KOSPI,010120,LS ELECTRIC,873000,17.97,32.07,150890193000,8,True,True,False,True,True,True,20260319
B,KOSPI,298040,효성중공업,2693000,5.15,12.96,80744219000,7,True,True,False,False,True,False,20260319
B,KOSPI,000720,현대건설,169500,8.86,48.29,178602150000,8,True,True,False,False,True,True,20260319
B,KOSDAQ,000250,삼천당제약,795000,1.02,48.6,261456420000,7,True,True,False,False,True,False,20260319
B,KOSPI,278470,에이피알,369000,14.42,35.66,108554265000,8,True,True,False,True,True,True,20260319
A,KOSPI,007660,이수페타시스,129500,19.03,27.46,273562145500,9,True,True,True,True,True,True,20260319
B,KOSPI,006260,LS,290500,14.82,17.14,57291248000,8,True,True,False,True,True,True,20260319
B,KOSDAQ,058470,리노공업,117100,-0.59,20.1,91593746400,7,True,True,False,False,True,False,20260319
B,KOSDAQ,087010,펩트론,317500,9.67,30.12,59036267500,7,True,True,False,False,False,True,20260319
B,KOSPI,011070,LG이노텍,286000,12.6,17.94,96577624000,7,True,True,True,False,True,False,20260319
B,KOSPI,047040,대우건설,16170,54.59,121.51,1247138221560,8,True,True,True,False,True,True,20260319
A,KOSDAQ,095340,ISC,244500,37.28,43.23,82587699000,9,True,True,True,True,True,True,20260319
B,KOSDAQ,039030,이오테크닉스,412500,0.49,13.01,48370162500,7,True,True,False,False,True,False,20260319
B,KOSDAQ,032820,우리기술,28950,32.19,134.6,848665168050,7,True,True,False,False,True,True,20260319
B,KOSPI,489790,한화비전,87200,10.52,42.25,148780204000,7,True,True,False,False,True,False,20260319
B,KOSDAQ,403870,HPSP,51700,19.54,21.36,410204602500,8,True,True,True,False,True,True,20260319
B,KOSPI,103590,일진전기,82100,1.99,14.83,23447677900,7,True,True,False,False,True,False,20260319
A,KOSPI,353200,대덕전자,77300,21.35,34.43,186203022800,9,True,True,True,True,True,True,20260319
