등급,시장,종목코드,종목명,현재가,5일변화율(%),20일변화율(%),거래대금(원),추세점수,매집점수,돌파점수,신규점수,총점,6.0신규,7.0신규,기준일자
B,KOSPI,005930,삼성전자,193900,3.19,15.55,3753675004100,3,3,3,4,13,Y,Y,20260317
B,KOSPI,000660,SK하이닉스,970000,3.41,12.79,3042686300000,3,3,3,4,13,Y,Y,20260317
B,KOSPI,005935,삼성전자우,141000,4.83,21.45,588439530000,4,3,4,4,15,Y,Y,20260317
B,KOSPI,402340,SK스퀘어,587000,5.96,10.34,281350861000,3,3,3,4,13,Y,Y,20260317
B,KOSPI,034020,두산에너빌리티,104400,1.85,9.32,324262224000,4,3,4,4,15,Y,Y,20260317
B,KOSPI,329180,HD현대중공업,587000,0.69,9.31,96687705000,3,3,3,4,13,Y,Y,20260317
B,KOSPI,006800,미래에셋증권,69100,7.43,35.28,222913490500,3,3,3,4,13,Y,Y,20260317
A,KOSPI,009150,삼성전기,446500,11.07,44.26,460880872000,5,4,4,5,18,Y,Y,20260317
B,KOSPI,010140,삼성중공업,29150,4.67,4.11,149718714200,4,4,3,4,15,Y,Y,20260317
B,KOSPI,010120,LS ELECTRIC,762000,5.25,14.24,77453490000,4,3,3,4,14,Y,Y,20260317
B,KOSPI,000150,두산,1110000,5.41,20.92,76915230000,3,3,3,4,13,Y,Y,20260317
B,KOSPI,000720,현대건설,161000,5.92,40.49,115337502000,4,3,3,4,14,Y,Y,20260317
B,KOSDAQ,000250,삼천당제약,739000,-5.98,44.9,104106625000,4,3,3,3,13,Y,Y,20260317
B,KOSPI,017670,SK텔레콤,79700,3.24,5.7,80511744500,4,3,3,4,14,Y,Y,20260317
A,KOSDAQ,298380,에이비엘바이오,191000,3.13,2.14,126214328000,4,3,4,5,16,Y,Y,20260317
B,KOSPI,009830,한화솔루션,49450,-2.08,3.02,399773678900,3,4,3,3,13,Y,Y,20260317
B,KOSDAQ,950160,코오롱티슈진,102000,0.59,9.09,37537938000,3,3,3,4,13,Y,Y,20260317
B,KOSPI,006260,LS,263000,8.23,12.88,31916628000,3,3,3,4,13,Y,Y,20260317
B,KOSPI,443060,HD현대마린솔루션,176900,6.31,5.99,13932290200,4,3,2,4,13,Y,Y,20260317
B,KOSDAQ,087010,펩트론,311000,7.61,24.65,49172521000,4,3,4,4,15,Y,Y,20260317
B,KOSPI,128940,한미약품,520000,1.76,-16.93,61298640000,2,5,3,4,14,Y,Y,20260317
B,KOSPI,052690,한전기술,170600,6.62,17.66,46969421400,3,3,3,4,13,Y,Y,20260317
B,KOSDAQ,310210,보로노이,347000,8.44,59.54,23389535000,4,3,4,4,15,Y,Y,20260317
B,KOSPI,036570,엔씨소프트,224500,2.28,5.15,25264332000,3,3,3,4,13,Y,Y,20260317
B,KOSPI,251270,넷마블,54800,-0.72,-5.35,18891642400,3,4,3,3,13,Y,Y,20260317
B,KOSDAQ,095340,ISC,211000,13.69,24.41,51447708000,4,3,4,4,15,Y,Y,20260317
B,KOSDAQ,263750,펄어비스,63600,-1.4,19.1,71419874400,3,5,3,4,15,Y,Y,20260317
B,KOSDAQ,226950,올릭스,186600,0.21,44.65,53118862200,3,3,3,4,13,Y,Y,20260317
A,KOSPI,012510,더존비즈온,119100,0.08,37.37,25919494800,4,3,5,4,16,Y,Y,20260317
A,KOSPI,353200,대덕전자,67200,4.02,17.28,130595875200,4,4,5,5,18,Y,Y,20260317
B,KOSDAQ,083650,비에이치아이,105100,0.1,41.26,54102327000,5,3,3,4,15,Y,Y,20260317
B,KOSDAQ,237690,에스티팜,153400,-3.88,3.72,28149973800,4,3,3,3,13,Y,Y,20260317
A,KOSDAQ,440110,파두,62700,-1.57,27.05,135588938100,4,4,4,4,16,Y,Y,20260317
B,KOSPI,005850,에스엘,65700,3.14,20.11,16697786400,3,3,3,4,13,Y,Y,20260317
B,KOSPI,009420,한올바이오파마,56200,3.69,5.64,27893408800,3,4,3,4,14,Y,Y,20260317
B,KOSPI,00680K,미래에셋증권2우B,21050,3.56,27.38,16374500300,3,3,3,4,13,Y,Y,20260317
