차트등급,시장,종목코드,종목명,현재가,5일변화율(%),20일변화율(%),거래대금(원),차트점수,20일선위,60일선위,거래량증가,고점근접,양봉마감,상단압박,기준일자
B,KOSPI,005935,삼성전자우,141000,4.83,21.45,588439530000,7,True,True,False,True,False,False,20260317
B,KOSPI,034020,두산에너빌리티,104400,1.85,9.32,324262224000,7,True,True,False,True,False,False,20260317
B,KOSPI,009150,삼성전기,446500,11.07,44.26,460880872000,8,True,True,False,True,True,False,20260317
B,KOSPI,010120,LS ELECTRIC,762000,5.25,14.24,77453490000,7,True,True,False,False,True,False,20260317
B,KOSDAQ,000250,삼천당제약,739000,-5.98,44.9,104106625000,7,True,True,False,False,True,False,20260317
B,KOSPI,017670,SK텔레콤,79700,3.24,5.7,80511744500,7,True,True,False,False,True,False,20260317
B,KOSDAQ,298380,에이비엘바이오,191000,3.13,2.14,126214328000,7,True,False,False,True,True,True,20260317
B,KOSPI,009830,한화솔루션,49450,-2.08,3.02,399773678900,7,False,True,True,False,True,False,20260317
B,KOSDAQ,087010,펩트론,311000,7.61,24.65,49172521000,7,True,True,False,False,False,True,20260317
B,KOSDAQ,310210,보로노이,347000,8.44,59.54,23389535000,7,True,True,False,False,False,True,20260317
B,KOSDAQ,263750,펄어비스,63600,-1.4,19.1,71419874400,7,True,True,True,False,False,False,20260317
B,KOSPI,012510,더존비즈온,119100,0.08,37.37,25919494800,8,True,True,False,True,False,True,20260317
A,KOSPI,353200,대덕전자,67200,4.02,17.28,130595875200,9,True,True,True,True,False,True,20260317
B,KOSDAQ,083650,비에이치아이,105100,0.1,41.26,54102327000,7,True,True,False,False,True,False,20260317
B,KOSDAQ,440110,파두,62700,-1.57,27.05,135588938100,8,True,True,True,False,False,True,20260317
B,KOSDAQ,178320,서진시스템,45650,1.44,22.22,226162516800,8,True,True,True,False,False,True,20260317
B,KOSDAQ,347700,스피어,50400,-1.37,32.98,74655453600,7,True,True,False,False,False,True,20260317
A,KOSDAQ,222800,심텍,56500,7.21,7.82,52241312500,9,True,True,True,True,False,True,20260317
B,KOSDAQ,039200,오스코텍,54900,10.13,7.65,31335767100,8,True,True,True,False,False,True,20260317
B,KOSDAQ,090710,휴림로봇,13440,5.74,-6.08,480924662400,7,True,True,True,False,True,False,20260317
A,KOSPI,004000,롯데정밀화학,51100,6.13,6.57,5169122700,9,True,True,False,True,True,True,20260317
B,KOSDAQ,295310,에이치브이엠,102900,8.32,12.58,31997372400,7,True,True,False,False,False,True,20260317
A,KOSDAQ,183300,코미코,117000,8.33,10.69,26876187000,10,True,True,True,True,True,True,20260317
B,KOSPI,003160,디아이,35650,5.63,2.74,25097742600,7,True,True,True,False,False,True,20260317
B,KOSDAQ,089970,브이엠,41050,-0.73,20.74,20701761300,7,True,True,False,False,True,False,20260317
B,KOSDAQ,074600,원익QnC,33400,-3.05,16.58,14048841600,7,True,True,False,False,False,True,20260317
B,KOSPI,005880,대한해운,2370,8.22,11.79,309370037970,7,True,True,True,False,False,False,20260317
B,KOSDAQ,365340,성일하이텍,59300,7.23,-4.35,5369970800,7,True,True,True,False,True,False,20260317
B,KOSDAQ,425420,티에프이,55900,9.82,20.47,18828126200,7,True,True,True,False,False,False,20260317
B,KOSDAQ,046890,서울반도체,11000,11.22,48.05,33601953000,7,True,True,True,False,False,False,20260317
B,KOSDAQ,234340,헥토파이낸셜,38000,-0.52,42.59,65480916000,7,True,True,False,False,False,True,20260317
B,KOSDAQ,122640,예스티,24550,4.91,4.25,5167063050,7,True,True,False,False,False,True,20260317
B,KOSDAQ,107640,한중엔시에스,54300,2.45,6.68,22525757700,8,True,True,True,False,False,True,20260317
B,KOSDAQ,327260,RF머트리얼즈,56300,-7.4,34.69,42538872500,7,True,True,True,False,False,False,20260317
B,KOSDAQ,065660,안트로젠,46400,-16.55,19.59,14739099200,7,True,True,True,False,False,False,20260317
B,KOSPI,031430,신세계인터내셔날,12750,5.46,-2.89,17111915250,7,True,True,True,False,False,True,20260317
B,KOSPI,025860,남해화학,8900,7.75,22.09,25677060700,7,True,True,False,False,True,False,20260317
B,KOSDAQ,098070,한텍,39500,11.27,5.61,7472886500,8,True,True,True,False,False,True,20260317
B,KOSDAQ,290550,디케이티,18000,2.86,53.19,12605346000,7,True,True,False,False,False,True,20260317
B,KOSDAQ,024060,흥구석유,22750,-12.16,56.14,114762966500,7,True,True,False,False,True,False,20260317
A,KOSPI,000390,삼화페인트,11000,10.11,3.68,314738204000,9,True,True,True,False,True,True,20260317
B,KOSDAQ,322310,오로스테크놀로지,31000,11.51,22.77,12315928000,7,True,True,False,False,False,True,20260317
B,KOSPI,117580,대성에너지,10310,-15.84,26.97,13068636390,7,True,True,False,False,True,False,20260317
A,KOSDAQ,112290,와이씨켐,27700,5.93,14.94,7460967300,9,True,True,False,True,True,True,20260317
B,KOSDAQ,361390,제노코,28800,7.46,4.73,9885801600,7,True,True,False,False,True,False,20260317
B,KOSDAQ,418550,제이오,8380,11.14,-6.99,30412545160,8,True,True,True,False,True,True,20260317
B,KOSDAQ,289930,웨이비스,19250,11.21,-4.23,6071892750,7,True,True,False,False,True,True,20260317
B,KOSDAQ,199820,제일일렉트릭,10720,11.9,-1.47,13063584960,7,True,True,True,False,True,False,20260317
A,KOSDAQ,091580,상신이디피,17850,11.56,14.79,25903259550,9,True,True,True,False,True,True,20260317
A,KOSDAQ,321550,티움바이오,7800,9.55,24.8,8313442800,9,True,True,True,False,True,True,20260317
B,KOSDAQ,380540,옵티코어,4360,10.1,33.54,35441751120,8,True,True,True,False,False,True,20260317
B,KOSDAQ,232680,라온로보틱스,15830,5.96,-12.15,7785716390,7,True,True,True,False,True,False,20260317
B,KOSDAQ,000440,중앙에너비스,32450,10.56,97.87,64103287600,7,True,True,False,False,True,False,20260317
B,KOSDAQ,005860,한일사료,4390,5.66,42.53,32603318360,7,True,True,False,False,True,False,20260317
B,KOSDAQ,039560,다산네트웍스,4325,11.47,12.19,7167844125,7,True,True,True,False,False,False,20260317
B,KOSDAQ,225190,LK삼양,2295,10.34,-12.4,15068063475,7,True,True,True,False,True,False,20260317
B,KOSDAQ,083500,에프엔에스테크,15600,7.14,-3.41,8476915200,7,True,True,True,False,True,False,20260317
